Species Common Name,Scientific Name,Taxon Class,Overall Sample Size,Overall MLE,Male Sample Size,Male MLE,Female Sample Size,Female MLE
"Flying Fox, Large",Pteropus vampyrus,Mammalia,217,17.1,102,17,114,17.1
"Fox, Fennec ",Vulpes zerda,Mammalia,467,11,242,11,225,11.1
"Fox, Swift",Vulpes velox,Mammalia,170,11.3,79,11.3,93,11.2
"Frog, Dusky Gopher",Lithobates (Rana) sevosa,Amphibia,1143,6.6,160,6.8,157,6.5
"Frog, Golden Harlequin",Atelopus varius,Amphibia,437,3.6,123,3.6,94,3.6
"Frog, Panamanian Golden (Ahogado)",Atelopus zeteki,Amphibia,1429,7.5,301,7.4,370,7.5
"Frog, Panamanian Golden (Sora)",Atelopus zeteki,Amphibia,2983,4.6,670,5.2,639,4
"Frogmouth, Tawny",Podargus strigoides,Aves,385,18.1,204,20.2,168,15.4
"Galago, Northern Greater",Otolemur garnettii,Mammalia,135,15.2,76,15.2,59,12.5
"Gazelle, Grant's",Nanger granti,Mammalia,669,5.2,280,3.5,389,6.2
"Gazelle, Nubian Soemmerring's",Nanger soemmerringii,Mammalia,232,6.1,93,5.5,138,6.6
"Gazelle, Slender-Horned",Gazella leptoceros,Mammalia,372,5.1,372,4.7,406,5.6
"Gazelle, Thomson's",Eudorcas thomsonii,Mammalia,535,8.6,194,5.2,339,11
"Gecko, Giant Leaf-tailed",Uroplatus fimbriatus,Reptilia,306,4,147,3.5,150,4.2
"Gecko, Henkel's Leaf-tailed",Uroplatus henkeli,Reptilia,395,4.5,208,5.3,158,3.8
"Gecko, Lined Leaf-tailed",Uroplatus lineatus,Reptilia,110,4.5,61,4.1,45,5.1
"Gecko, Mossy Leaf-tailed",Uroplatus sikorae,Reptilia,150,2.4,72,2.6,74,2.4
"Gecko, Satanic Leaf-tailed",Uroplatus phantasticus,Reptilia,135,2.5,65,2.8,66,2.4
"Gerenuk, Southern",Litocranius walleri,Mammalia,476,5.2,224,3.7,252,5.8
"Gibbon, Lar (White-handed)",Hylobates lar,Mammalia,478,15.5,,,,
"Gibbon, White-cheeked",Nomascus leucogenys,Mammalia,135,29.9,69,26.4,65,35.8
Giraffe (Combined Masai & Generic),Giraffa camelopardalis,Mammalia,1511,16.7,709,13.5,801,19.4
"Goose, Nene",Branta sandvicensis,Aves,1047,8,497,8.2,478,8
"Goose, Red-breasted",Branta ruficollis,Aves,424,8,206,8.8,218,7.9
"Goose, Swan",Anser cygnoides,Aves,232,11.4,106,10.9,106,11.7
"Goral, Chinese",Naemorhedus griseus,Mammalia,145,13,77,12.4,68,14
"Gorilla, Western Lowland",Gorilla gorilla gorilla,Mammalia,608,35.3,296,31.7,312,38.3
"Guineafowl, Crested",Guttera pucherani,Aves,297,7,145,7,124,7
"Guineafowl, Vulturine",Acryllium vulturinum,Aves,787,4.5,340,4.9,335,4
Hamerkop,Scopus umbretta,Aves,265,8.6,127,12.3,123,5.9
"Heron, Boat-billed",Cochlearius cochlearius,Aves,466,8.8,192,9.4,211,7.5
"Hippopotamus, Pygmy",Cheoropis liberiensi,Mammalia,222,25.3,90,24.5,132,26.3
"Hippopotamus, River",Hippopotamus amphibius,Mammalia,219,35.5,93,35.7,123,35.3
"Hornbill, Great",Buceros bicornis,Aves,112,27.2,53,24.6,59,29.2
"Hornbill, Red-billed",Tockus erythrorhynchus,Aves,171,11.1,85,11.3,76,9.9
"Hornbill, Rhinoceros",Buceros rhinoceros,Aves,126,21,68,21.1,57,21.3
"Hornbill, Wrinkled",Rhabdotorrhinus corrugatus,Aves,130,12.1,60,17.9,70,10.5
"Horse, Asian Wild",Equus ferus przewalskii,Mammalia,478,17.9,221,15.8,257,19.4
"Hyena, Spotted",Crocuta crocuta,Mammalia,147,22.3,82,23.4,61,21.6
"Hyrax, Rock",Procavia capensis,Mammalia,598,5.4,282,5.1,312,5.7
"Ibex, Nubian",Capra nubiana,Mammalia,629,9.6,277,9.1,351,9.6
"Ibis, Sacred",Threskiornis aethiopicus,Aves,627,12.5,200,12.6,204,11.4
"Ibis, Scarlet",Eudocimus ruber,Aves,2805,12.3,1075,11.9,1023,12.8
"Ibis, Waldrapp",Geronticus eremita,Aves,287,17.1,127,18.3,144,16.2
"Iguana, Fiji Island Banded",Brachylophus bulabula,Reptilia,179,9.7,81,15.9,97,7
Jaguar,Pantera onca,Mammalia,605,17.6,294,18.2,307,17.1
"Jay, Plush Crested",Cyanocorax chrysops,Aves,223,10.2,98,11.2,94,10
Kea,Nestor notabilis,Aves,120,8,59,8,53,8.7
"Kingfisher, Guam",Todiramphus cinnamominus cinnamominus,Aves,318,7,160,7.7,158,6.2
